player,shots,goals,xg,goals_minus_xg
Adalberto Peñaranda Maestre,22,5,1.77,3.23
Adrián Embarba Blázquez,40,2,3.12,-1.12
Adrián González Morales,47,5,5.94,-0.94
Alberto Mateus Contreiras Gonçalves,25,4,5.28,-1.28
Alen Halilović,59,3,4.2,-1.2
Alfred John Momar N''Diaye,26,2,3.69,-1.69
André Filipe Tavares Gomes,42,3,2.64,0.36
Andrés Iniesta Luján,23,1,1.35,-0.35
Antoine Griezmann,92,22,13.55,8.45
Aritz Aduriz Zubeldia,96,20,17.01,2.99
Armindo Tué Na Bangna,48,2,4.06,-2.06
Arnaldo Antonio Sanabria Ayala,52,11,10.53,0.47
Asier Illarramendi Andonegi,22,1,1.49,-0.49
Aymeric Laporte,20,3,4.05,-1.05
Beñat Etxebarria Urkiaga,30,1,1.53,-0.53
Borja González Tomás,94,18,17.46,0.54
Bruno Soriano Llido,25,5,4.2,0.8
Carlos Alberto Vela Garrido,61,5,7.78,-2.78
Carlos Castro García,25,7,4.35,2.65
Carlos Henrique Casimiro,20,1,1.21,-0.21
Celso Borges Mora,20,3,3.03,-0.03
Charles Días Barbosa de Oliveira,86,12,13.07,-1.07
Cristiano Ronaldo dos Santos Aveiro,228,35,28.5,6.5
Cédric Bakambu,49,12,7.82,4.18
Daniel García Carrillo,20,0,1.29,-1.29
Daniel Parejo Muñoz,46,8,4.39,3.61
Daniel Wass,49,2,3.76,-1.76
Denis Suárez Fernández,37,4,2.31,1.69
Deyverson Brum Silva Acosta,72,9,9.06,-0.06
Diego Roberto Godín Leal,26,1,4.18,-3.18
Duje Čop,49,7,8.23,-1.23
Fabián Ariel Orellana Valenzuela,77,7,7.61,-0.61
Fayçal Fajr,45,5,2.31,2.69
Federico Nicolás Cartabia,52,3,2.15,0.85
Felipe Salvador Caicedo Corozo,42,8,8.09,-0.09
Fernando José Torres Sanz,57,11,7.51,3.49
Fernando Llorente Torres,31,4,5.32,-1.32
Francisco Alcácer García,63,13,12.91,0.09
Francisco Román Alarcón Suárez,42,3,3.81,-0.81
Gareth Frank Bale,81,19,8.03,10.97
Gerard Moreno Balaguero,54,7,7.27,-0.27
Giuseppe Rossi,33,6,4.12,1.88
Gonzalo Castro Irizábal,20,1,1.3,-0.3
Gonzalo Escalante,24,3,2.35,0.65
Grzegorz Krychowiak,22,0,2.76,-2.76
Hernán Arsenio Pérez González,47,7,4.49,2.51
Iago Aspas Juncal,82,14,12.16,1.84
Ignacio Camacho Barnola,24,2,2.3,-0.3
Ignacio Cases Mora,22,1,1.54,-0.54
Iker Muniain Goñi,23,2,2.49,-0.49
Imanol Agirretxe Arruti,45,13,7.9,5.1
Isaac Ajayi Success,57,6,4.93,1.07
Ivan Rakitić,44,7,4.03,2.97
Iñaki Williams Arthuer,45,8,3.8,4.2
Jackson Arley Martínez Valencia,26,2,2.21,-0.21
James David Rodríguez Rubio,39,7,3.09,3.91
Javier Guerra Rodríguez,71,12,12.85,-0.85
Javier Márquez Moreno,22,0,1.3,-1.3
Jefferson Andrés Lerma Solís,37,1,2.21,-1.21
Jesé Rodríguez Ruiz,21,5,2.41,2.59
Joaquín Sánchez Rodríguez,29,1,2.53,-1.53
John Guidetti,33,7,5.91,1.09
Jonathan Rodríguez Menéndez,56,5,3.58,1.42
Jonathan Viera Ramos,88,10,9.38,0.62
Jonathas Cristian de Jesus,58,7,8.06,-1.06
Jorge Andújar Moreno,32,1,3.52,-2.52
Jorge Franco Alviz,30,1,2.9,-1.9
Jorge Resurrección Merodio,42,5,3.6,1.4
José Antonio García Rabasco,25,2,2.16,-0.16
José Antonio Reyes Calderón,23,1,2.15,-1.15
José Luis García del Pozo,36,0,2.25,-2.25
José Luis Morales Nogales,72,7,5.09,1.91
Jozabed Sánchez Ruiz,45,9,4.35,4.65
Juan Francisco Moreno Fuertes,20,1,0.61,0.39
Juan Pablo Añor Acosta,32,4,2.77,1.23
Karim Benzema,98,24,18.23,5.77
Kevin Gameiro,73,16,15.13,0.87
Leonardo Carrilho Baptistão,32,3,2.6,0.4
Lionel Andrés Messi Cuccittini,158,26,24.13,1.87
Lucas Pérez Martínez,98,17,12.31,4.69
Lucas Vázquez Iglesias,24,4,2.39,1.61
Luciano Vietto,25,1,3.48,-2.48
Luis Alberto Romero Alconchel,79,6,7.42,-1.42
Luis Alberto Suárez Díaz,139,40,25.79,14.21
Luka Modrić,35,2,1.72,0.28
Manuel Agudo Durán,81,12,8.1,3.9
Manuel Trigueros Muñoz,30,2,1.49,0.51
Marcelo Vieira da Silva Júnior,20,2,1.71,0.29
Marco Asensio Willemsen,59,4,6.58,-2.58
Mario Gaspar Pérez Martínez,33,2,2.57,-0.57
Markel Susaeta Laskurain,25,3,1.83,1.17
Michael Krohn-Dehli,25,1,2.57,-1.57
Miguel Ángel Guerrero Martín,22,2,2.84,-0.84
Mikel Oyarzabal Ugarte,32,6,3.47,2.53
Mikel San José Domínguez,26,2,2.9,-0.9
Nabil El Zhar,28,2,2.04,-0.04
Nabil Ghilas,21,0,2.29,-2.29
Neymar da Silva Santos Junior,123,24,21.81,2.19
Nicolás Ladislao Fedor Flores,42,9,10.1,-1.1
Nordin Amrabat,28,0,2.56,-2.56
Oriol Riera Magem,24,2,3.18,-1.18
Pablo Fornals Malla,22,1,1.5,-0.5
Pablo Hernández Domínguez,35,3,2.81,0.19
Pablo Sarabia García,65,7,5.01,1.99
Papa Kouly Diop,22,3,1.65,1.35
Pedro León Sánchez Gil,44,2,3.59,-1.59
Pedro Mosquera Parada,30,0,1.82,-1.82
Pedro Pablo Hernández,27,2,1.77,0.23
Pedro Taunausú Domínguez Placeres,31,5,2.63,2.37
Raúl García Escudero,79,7,7.29,-0.29
Roberto Soldado Rillo,41,5,4.53,0.47
Roberto Trashorras Gayoso,33,3,3.3,-0.3
Rodrigo Moreno Machado,38,2,4.43,-2.43
Roger Martí Salvador,21,0,2.48,-2.48
Roque Mesa Quevedo,33,1,1.55,-0.55
Rubén Castro Martín,103,19,14.53,4.47
Rubén Pardo Gutiérrez,37,0,2.26,-2.26
Rubén Rochina Naixes,78,6,3.7,2.3
Sabin Merino Zuloaga,27,5,3.25,1.75
Samuel Castillejo Azuaga,25,1,1.58,-0.58
Santiago Mina Lorenzo,24,4,3.18,0.82
Saúl Berjón Pérez,34,4,5.41,-1.41
Saúl Ñíguez Esclapez,47,4,3.55,0.45
Sergio Canales Madrazo,24,0,1.11,-1.11
Sergio Enrich Ametller,44,9,7.77,1.23
Sergio Ezequiel Araújo,61,5,6.67,-1.67
Sergio Gontán Gallardo,36,3,2.7,0.3
Shkodran Mustafi,24,2,2.67,-0.67
Sofiane Feghouli,24,1,2.85,-1.85
Stefan Šćepović,30,6,4.59,1.41
Sérgio Paulo Barbosa Valente,23,1,2.25,-1.25
Takashi Inui,36,3,3.16,-0.16
Tiago Manuel Dias Correia,80,3,2.73,0.27
Toni Kroos,20,1,0.7,0.3
Vicente Iborra De La Fuente,32,7,6.09,0.91
Víctor Camarasa Ferrando,28,2,2.6,-0.6
Víctor Machín Pérez,24,2,3.49,-1.49
Víctor Rodríguez Romero,45,2,3.76,-1.76
Víctor Sánchez Mata,24,1,2.35,-1.35
Wanderson Maciel Sousa Campos,24,0,1.24,-1.24
Willian José da Silva,54,9,6.27,2.73
Yannick Ferreira Carrasco,54,4,3.6,0.4
Yevhen Konoplyanka,51,4,4.64,-0.64
Youssef El-Arabi,72,16,12.81,3.19
Álvaro Cejudo Carmona,36,1,1.39,-0.39
Álvaro Medrán Just,31,2,2.31,-0.31
Álvaro Negredo Sánchez,39,5,4.96,0.04
Álvaro Vázquez García,48,5,8.49,-3.49
Ángel Lafita Castillo,28,3,2.78,0.22
Ángel Martín Correa,30,5,2.92,2.08
Éver Maximiliano David Banega,39,5,3.54,1.46
